STATE_UT,DISTRICT,ALERT_CONFIRMED,alert_count
Andhra Pradesh,Krishna,SUDDEN_DROP,2
Andhra Pradesh,Kurnool,CRITICAL_GROUNDWATER,6
Andhra Pradesh,Kurnool,DEPLETION_WARNING,7
Andhra Pradesh,Kurnool,RECOVERY_SIGNAL,5
Andhra Pradesh,Kurnool,SUDDEN_DROP,7
Andhra Pradesh,Nandyal,CRITICAL_GROUNDWATER,2
Andhra Pradesh,Nandyal,DEPLETION_WARNING,3
Andhra Pradesh,Nandyal,RECOVERY_SIGNAL,2
Andhra Pradesh,Nandyal,SUDDEN_DROP,5
Andhra Pradesh,Ntr,CRITICAL_GROUNDWATER,6
Andhra Pradesh,Ntr,DEPLETION_WARNING,6
Andhra Pradesh,Ntr,RECOVERY_SIGNAL,5
Andhra Pradesh,Ntr,SUDDEN_DROP,2
Andhra Pradesh,Palnadu,CRITICAL_GROUNDWATER,9
Andhra Pradesh,Palnadu,DEPLETION_WARNING,4
Andhra Pradesh,Palnadu,RECOVERY_SIGNAL,8
Andhra Pradesh,Palnadu,SUDDEN_DROP,8
Andhra Pradesh,Parvathipuram Manyam,CRITICAL_GROUNDWATER,7
Andhra Pradesh,Parvathipuram Manyam,DEPLETION_WARNING,2
Andhra Pradesh,Parvathipuram Manyam,RECOVERY_SIGNAL,7
Andhra Pradesh,Parvathipuram Manyam,SUDDEN_DROP,7
Andhra Pradesh,Prakasam,CRITICAL_GROUNDWATER,11
Andhra Pradesh,Prakasam,DEPLETION_WARNING,2
Andhra Pradesh,Prakasam,RECOVERY_SIGNAL,9
Andhra Pradesh,Prakasam,SUDDEN_DROP,9
Andhra Pradesh,Sri Potti Sriramulu Nellore,CRITICAL_GROUNDWATER,9
Andhra Pradesh,Sri Potti Sriramulu Nellore,DEPLETION_WARNING,3
Andhra Pradesh,Sri Potti Sriramulu Nellore,RECOVERY_SIGNAL,17
Andhra Pradesh,Sri Potti Sriramulu Nellore,SUDDEN_DROP,15
Andhra Pradesh,Sri Potti Sriramulu Nellore Manubolu,CRITICAL_GROUNDWATER,1
Andhra Pradesh,Sri Potti Sriramulu Nellore Manubolu,DEPLETION_WARNING,1
Andhra Pradesh,Sri Potti Sriramulu Nellore Manubolu,RECOVERY_SIGNAL,1
