STATE_UT,DISTRICT,total_stations,total_records,critical_alerts,depletion_alerts,avg_gavi,stressed_ratio
Uttar Pradesh,Chandauli,7,55,10,2,46.825674037595675,100.0
Uttar Pradesh,Chitrakoot,8,63,5,3,55.43107826797349,100.0
Uttar Pradesh,Auraiya,6,51,2,11,46.438533065634665,100.0
Uttar Pradesh,Ayodhya,9,77,12,7,47.68472935547038,100.0
Uttar Pradesh,Azamgarh,6,55,9,5,49.28567284817285,100.0
Uttar Pradesh,Bahraich,3,25,7,3,39.63398692810458,100.0
Uttar Pradesh,Ballia,11,101,6,5,54.87321356381519,100.0
Uttar Pradesh,Balrampur,13,120,12,12,53.19802994527259,100.0
Uttar Pradesh,Banda,10,78,6,7,51.478070971153834,100.0
Uttar Pradesh,Bara Banki,6,52,5,5,50.80671836524679,100.0
West Bengal,North 24 Parganas,8,74,1,1,72.59323390150458,100.0
West Bengal,Paschim Bardhaman,45,397,33,27,56.66391917898152,100.0
West Bengal,Paschim Medinipur,10,87,10,3,55.17674323912149,100.0
West Bengal,Purba Bardhaman,7,55,2,3,60.350201590843305,100.0
West Bengal,Purba Medinipur,4,32,0,0,66.85933980855856,100.0
West Bengal,Purulia,21,194,14,17,54.482458332875325,100.0
West Bengal,South 24 Parganas,6,51,3,4,54.59629805124965,100.0
Andhra Pradesh,Krishna,4,29,4,1,56.608169628638,100.0
West Bengal,Hooghly,22,188,14,18,54.046553502152676,100.0
West Bengal,Howrah,15,139,10,9,55.94524606290277,100.0
West Bengal,Jalpaiguri,30,282,71,21,46.031826002039246,100.0
West Bengal,Jhargram,20,180,18,19,52.02297299912758,100.0
West Bengal,Kolkata,3,23,0,0,74.10105361879222,100.0
West Bengal,Malda,20,159,22,9,52.793563424826836,100.0
West Bengal,Murshidabad,6,47,1,3,58.21812752383861,100.0
West Bengal,Nadia,7,60,3,4,56.60164141414141,100.0
Uttarakhand,Udam Singh Nagar,29,286,43,26,49.43196629711861,100.0
Uttarakhand,Uttar Kashi,4,31,8,0,53.82285522522335,100.0
West Bengal,Alipurduar,17,121,6,5,56.67755552575513,100.0
West Bengal,Bankura,28,222,23,20,53.3824856555195,100.0
West Bengal,Birbhum,24,175,18,13,50.93141136208757,100.0
West Bengal,Cooch Behar,7,44,5,3,50.31929875679874,100.0
West Bengal,Dakshin Dinajpur,6,50,6,2,52.75371802283566,100.0
West Bengal,Darjeeling,27,256,42,25,45.75790141076534,100.0
Uttar Pradesh,Sonbhadra,12,104,4,3,54.844952302487705,100.0
Uttar Pradesh,Sultanpur,6,56,10,2,48.7659862203176,100.0
Uttar Pradesh,Unnao,2,18,0,3,54.039578794480754,100.0
Uttar Pradesh,Varanasi,2,17,2,0,57.79357897004956,100.0
Uttarakhand,Champawat,4,39,2,3,60.28838120943383,100.0
Uttarakhand,Dehradun,36,394,53,19,53.390424721068605,100.0
Uttarakhand,Haridwar,32,325,47,27,51.85352188837827,100.0
Uttarakhand,Nainital,8,77,9,5,58.634471305467954,100.0
Assam,Bajali,1,9,4,3,29.999999999999986,100.0
Assam,Barpeta,3,30,4,2,53.421412136899626,100.0
Assam,Biswanath,10,88,26,5,44.95188470300505,100.0
Assam,Bongaigaon,9,81,9,6,52.29943065607936,100.0
Assam,Cachar,10,86,5,6,61.92265449053977,100.0
Assam,Charaideo,1,9,1,0,48.33333333333333,100.0
Assam,Chirang,1,8,0,0,69.69696969696969,100.0
Assam,Darrang,6,49,1,2,54.299408074918276,100.0
Andhra Pradesh,Y.S.R.,6,58,4,6,56.708776043224766,100.0
Arunachal Pradesh,Changlang,4,40,12,5,44.45454545454545,100.0
Arunachal Pradesh,East Siang,3,30,4,1,57.95970695970696,100.0
Arunachal Pradesh,Kamle,1,9,0,0,72.8395061728395,100.0
Arunachal Pradesh,Lower Subansiri,1,9,1,2,45.18518518518517,100.0
Arunachal Pradesh,Namsai,1,10,1,0,56.875,100.0
Arunachal Pradesh,Papum Pare,9,79,13,1,51.915192494168835,100.0
Arunachal Pradesh,Tirap,3,30,3,3,53.65217391304348,100.0
Andhra Pradesh,Sri Potti Sriramulu Nellore Marripadu,1,10,0,0,60.47619047619047,100.0
Andhra Pradesh,Sri Potti Sriramulu Nellore Muthukur,2,20,6,1,38.97727272727273,100.0
Andhra Pradesh,Sri Sathya Sai,2,19,2,2,51.11455108359133,100.0
Andhra Pradesh,Srikakulam,10,92,9,2,58.31257205024486,100.0
Andhra Pradesh,Tirupati,7,68,5,3,60.90772238840429,100.0
Andhra Pradesh,Visakhapatnam,15,144,9,7,54.321901692476686,100.0
Andhra Pradesh,Vizianagaram,8,90,1,2,58.10008670781029,100.0
Andhra Pradesh,West Godavari,5,50,5,0,57.90019157088123,100.0
Andhra Pradesh,Kurnool,10,78,6,7,55.14349584471536,100.0
Andhra Pradesh,Nandyal,5,38,2,3,57.57248355932566,100.0
Andhra Pradesh,Ntr,7,66,6,6,51.44981561648228,100.0
Andhra Pradesh,Palnadu,10,99,9,4,61.35436434516941,100.0
Andhra Pradesh,Parvathipuram Manyam,7,67,7,2,54.11668158120324,100.0
Andhra Pradesh,Prakasam,5,53,11,2,50.47867601572899,100.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,10,98,9,3,56.762740764834085,100.0
Andhra Pradesh,Sri Potti Sriramulu Nellore Manubolu,2,20,1,1,59.21626984126984,100.0
