station_id,mean_wl,min_wl,max_wl,std_wl
Andhra Pradesh_16.2601_80.4703,3.9,3.3,4.5,0.3771236166328254
Andhra Pradesh_16.2632_80.4248,2.23,1.6,2.8,0.4191260749066641
Andhra Pradesh_16.2866_80.7496,1.97,0.9,2.8,0.6307843442008441
Andhra Pradesh_16.2985_80.4319,3.8600000000000003,1.5,7.5,1.9816940003721846
Andhra Pradesh_16.3057_80.3739,3.8600000000000003,2.3,6.4,1.3409780841692462
Andhra Pradesh_16.3337_81.7332,1.6800000000000002,1.2,2.2,0.35839146815241635
Andhra Pradesh_16.3455_80.3024,4.14,2.9,6.7,1.3785660827267023
Andhra Pradesh_16.4046_81.8058,1.9714285714285713,1.3,3.3,0.7111359122659224
Andhra Pradesh_16.4135_81.8047,2.185714285714286,1.7,2.7,0.31320159337914955
Andhra Pradesh_16.48_81.8446,2.6100000000000003,2.1,3.1,0.3212821536005731
Andhra Pradesh_16.4922_80.0076,9.260000000000002,5.5,14.9,3.08191859435356
Andhra Pradesh_16.4941_80.3645,2.33,1.1,4.5,1.208350574589639
Andhra Pradesh_16.5307_81.9234,3.8000000000000003,3.2,4.3,0.3999999999999998
Andhra Pradesh_16.5329_80.3663,2.7199999999999998,1.2,4.7,1.1370527203647547
Andhra Pradesh_16.5582_81.5017,1.35,1.0,1.8,0.2505549396395485
Andhra Pradesh_16.562_81.9956,2.0,1.2,2.8,0.49999999999999994
Andhra Pradesh_16.5661_80.2572,3.388888888888889,1.9,6.1,1.2663376765741083
Andhra Pradesh_16.566_80.4127,3.1100000000000003,0.8,8.4,2.589916343565302
Andhra Pradesh_16.5733_80.3612,1.59,1.0,2.8,0.536345659688476
Andhra Pradesh_16.5734_82.0051,1.7428571428571427,1.4,2.2,0.27602622373694174
Andhra Pradesh_16.583_81.3889,1.21,0.9,1.8,0.2846049894151541
Andhra Pradesh_16.586_81.3882,4.88,3.2,6.4,1.1496859474559902
Andhra Pradesh_16.5879_81.8885,2.43,1.7,3.7,0.6056218108504496
Andhra Pradesh_16.5882_81.9738,3.8428571428571425,3.3,4.2,0.3408672412985387
Andhra Pradesh_16.5896_80.522,1.011111111111111,0.0,2.1,0.6153138313991577
Andhra Pradesh_16.5933_81.9523,2.857142857142857,1.9,3.4,0.5563486402641868
Andhra Pradesh_16.5983_79.7284,5.3100000000000005,3.9,14.8,3.3580583013931666
Andhra Pradesh_16.6165_82.0731,1.6875,1.2,2.3,0.36425069859723175
Andhra Pradesh_16.6187_82.0195,1.557142857142857,0.9,2.3,0.6160550377391695
Andhra Pradesh_16.6544_81.9381,2.542857142857143,2.2,3.1,0.3309438162646486
Andhra Pradesh_16.6562_82.1221,1.8111111111111111,0.8,2.6,0.5797509043642028
Andhra Pradesh_16.6602_82.0246,5.457142857142857,4.0,6.6,0.8521681032463467
Andhra Pradesh_16.6613_82.0125,2.2714285714285714,1.6,4.2,0.9178131358729579
Andhra Pradesh_16.6728_82.165,1.5285714285714285,0.7,2.1,0.4855041562276123
Andhra Pradesh_16.6746_80.3988,3.4285714285714284,3.0,3.8,0.2690370836538197
Andhra Pradesh_16.686_81.6052,2.7800000000000002,1.5,4.4,0.8270429251254134
Andhra Pradesh_16.6963_82.1802,1.9857142857142858,1.4,2.3,0.4059087394500207
Andhra Pradesh_16.6983_81.6309,1.8699999999999999,0.8,3.8,0.793095202355934
Andhra Pradesh_16.6998_82.038,2.0300000000000002,1.1,3.9,0.8219894565422763
Andhra Pradesh_16.7029_81.8325,2.06,1.2,2.6,0.49933288829530675
Andhra Pradesh_16.7159_81.8964,4.985714285714286,4.2,6.5,0.8254868693253524
Andhra Pradesh_16.716_81.8977,6.236363636363635,3.8,10.3,2.086275498237339
Andhra Pradesh_16.7208_80.8092,3.08,0.8,8.4,2.3432171616533255
Andhra Pradesh_16.7294_82.2141,2.2857142857142856,1.9,3.0,0.4740906081772815
Andhra Pradesh_16.7764_82.0879,1.9600000000000002,1.0,3.3,0.7089898917944222
Andhra Pradesh_16.7796_81.8027,5.6000000000000005,2.6,9.2,2.1456933611306157
Andhra Pradesh_16.7898_82.066,1.6,1.2,2.4,0.4346134936801766
Andhra Pradesh_16.7921_82.0637,3.8,3.2,4.9,0.5142416206847172
Andhra Pradesh_16.7929_81.8659,1.2142857142857142,0.3,5.0,1.678718331970923
Andhra Pradesh_16.8273_80.076,13.830000000000002,10.9,21.4,2.9888868236258865
Andhra Pradesh_16.8727_80.6398,3.3,1.7,4.4,0.8246211251235323
Andhra Pradesh_16.9248_82.236,1.3900000000000001,0.4,3.2,0.8774331250237188
Andhra Pradesh_16.927_81.9167,1.85,1.4,2.4,0.35856858280031817
Andhra Pradesh_16.9384_81.9542,2.8,2.5,3.1,0.1699673171197595
Andhra Pradesh_16.9503_82.237,2.2,1.2,3.1,0.6458659745975609
Andhra Pradesh_16.951_80.0523,3.7299999999999995,2.4,5.1,0.7469196000165537
Andhra Pradesh_16.9557_82.1893,1.6199999999999999,0.7,2.4,0.5181162460726785
Andhra Pradesh_16.9721_80.5312,2.5599999999999996,1.5,3.3,0.5719362823873925
Andhra Pradesh_16.9726_81.7851,2.466666666666667,1.9,3.1,0.44158804331639245
Andhra Pradesh_16.985_82.2757,1.3599999999999999,0.9,1.9,0.38355066303046736
Andhra Pradesh_16.9915_81.7776,2.12,1.6,3.1,0.4491968140779471
Andhra Pradesh_16.9996_80.5242,2.12,1.5,2.9,0.4211096452627668
Andhra Pradesh_17.0094_82.2482,2.44,1.5,3.2,0.5796550698475775
Andhra Pradesh_17.0129_81.7828,3.13,1.0,4.9,1.1860766323378005
Andhra Pradesh_17.0137_82.2835,0.89,0.3,1.6,0.47246399039738707
Andhra Pradesh_17.083_81.9065,1.95,1.4,2.6,0.4089281382128432
Andhra Pradesh_17.1007_82.2462,1.56,0.4,7.3,2.0683863812697623
Andhra Pradesh_17.1108_81.6735,2.8600000000000003,1.6,4.1,0.6603029607687673
Andhra Pradesh_17.124_81.6687,0.97,0.5,1.9,0.444847039878753
Andhra Pradesh_17.1454_81.0098,5.0,4.3,5.6,0.4216370213557838
Andhra Pradesh_17.1633_81.659,1.8111111111111111,0.5,2.7,0.7423685817106697
Andhra Pradesh_17.1988_81.3188,2.92,1.8,4.2,0.6511528238439881
Andhra Pradesh_17.2036_81.4172,4.45,3.0,6.2,1.008535005412731
Andhra Pradesh_17.2083_81.8467,4.319999999999999,1.7,6.8,1.5134948518798028
Andhra Pradesh_17.227_82.2285,4.84,1.3,8.0,1.9636700333813726
Andhra Pradesh_17.2302_82.1986,3.15,1.6,4.4,0.9980536614386579
Andhra Pradesh_17.2653_81.8475,2.41,1.1,3.4,0.8478076301719499
Andhra Pradesh_17.2_82.1018,12.5,8.4,15.6,2.309761892490219
Andhra Pradesh_17.4379_82.074,2.3,1.0,3.6,0.855050355892044
Andhra Pradesh_17.4633_82.0271,6.720000000000001,5.4,9.0,1.4289078968841122
Andhra Pradesh_17.5029_82.7941,2.088888888888889,1.5,2.7,0.44284434185288074
Andhra Pradesh_17.5032_82.0124,4.51,2.3,6.5,1.2215200002910764
Andhra Pradesh_17.6092_82.9778,8.18,5.3,11.0,1.9719139039127556
Andhra Pradesh_17.6723_82.3619,1.41,0.5,2.1,0.5021066730398144
Andhra Pradesh_17.6741_82.4487,1.51,0.9,2.4,0.5300943312279428
Andhra Pradesh_17.6773_82.4944,4.388888888888889,1.9,5.8,1.1752068375869462
Andhra Pradesh_17.6809_82.9817,2.75,1.8,5.1,0.9288583195395181
Andhra Pradesh_17.6901_83.2919,5.3100000000000005,3.8,6.0,0.597122730730924
Andhra Pradesh_17.717_83.3269,5.93,5.2,6.9,0.49452558635075244
Andhra Pradesh_17.7328_83.3417,3.47,2.7,5.3,0.8420213774008354
Andhra Pradesh_17.739_83.2669,4.9,2.5,6.5,1.267543556122103
Andhra Pradesh_17.7549_83.3469,2.75,1.5,4.9,1.1890705987824646
Andhra Pradesh_17.7577_83.3258,4.92,3.0,8.4,1.4179797835888448
Andhra Pradesh_17.7759_83.2168,3.857142857142857,2.6,8.5,2.072725374040294
Andhra Pradesh_17.7801_83.3851,2.67,2.0,3.1,0.3529242915351047
Andhra Pradesh_17.8029_83.3542,12.4625,6.7,17.3,3.6773194818275683
Andhra Pradesh_17.8071_82.4959,1.8800000000000001,1.7,2.1,0.11352924243950929
Andhra Pradesh_17.8194_82.8377,2.57,0.9,3.5,0.7318925239860472
Andhra Pradesh_17.8235_83.2084,1.52,0.7,3.3,0.8891943919451284
Andhra Pradesh_17.8324_83.2291,3.11,1.9,4.0,0.7385421074281712
Andhra Pradesh_17.8387_82.8678,3.25,2.1,4.2,0.6150880695748645
Andhra Pradesh_17.8417_83.2152,2.52,1.8,3.4,0.5533734925185901
Andhra Pradesh_17.8554_82.4361,0.8800000000000001,0.5,1.7,0.39384147967311817
Andhra Pradesh_17.8876_83.4521,3.95,2.1,8.0,2.049525690386816
Andhra Pradesh_17.893_83.4534,5.8100000000000005,1.5,9.3,2.9602740113412174
Andhra Pradesh_18.0753_83.4789,4.4,2.6,8.0,1.3772589100322272
Andhra Pradesh_18.1636_83.3779,4.3100000000000005,2.1,7.2,1.463974802454681
Andhra Pradesh_18.2074_83.0743,4.04,2.8,5.0,0.6203941399536983
Andhra Pradesh_18.216_83.1019,4.42,4.2,5.0,0.3190262963734774
Andhra Pradesh_18.2388_83.0011,4.655555555555555,4.2,5.3,0.4156654637779974
Andhra Pradesh_18.2412_83.3463,2.8600000000000003,2.1,3.5,0.4550946177566936
Andhra Pradesh_18.2724_84.0028,3.09,2.1,6.6,1.2999572642548247
Andhra Pradesh_18.2785_82.9669,9.14,3.3,11.1,2.263821744062216
Andhra Pradesh_18.2885_82.7921,7.93,6.0,10.1,1.1681419244062579
Andhra Pradesh_18.2957_83.9774,2.9899999999999998,2.6,3.7,0.3604010112206803
Andhra Pradesh_18.3207_82.8814,8.040000000000001,5.1,9.8,1.3656093471007327
Andhra Pradesh_18.3298_84.0519,5.25,4.7,7.0,0.6687467549246293
Andhra Pradesh_18.3401_84.1221,2.0,0.8,2.6,0.5802298395176404
Andhra Pradesh_18.3428_84.1225,2.3899999999999997,1.9,3.0,0.32128215360057305
Andhra Pradesh_18.3718_83.4004,3.6799999999999997,2.3,6.0,1.3414751416092494
Andhra Pradesh_18.4039_83.3368,3.55,1.8,5.4,1.2367070972726097
Andhra Pradesh_18.4167_83.9041,3.5500000000000003,2.4,4.6,0.744983221287567
Andhra Pradesh_18.4873_83.3283,4.64,2.8,6.7,1.1758684733704985
